timestamp_start,src_ip,src_port,dst_ip,dst_port,protocol,hostname,bytes_out,bytes_in
2025-09-13T21:06:48.470-05:00,10.215.173.1,53924,14.46.184.61,8052,BitTorrent,,132,338
2025-09-13T21:06:48.479-05:00,10.215.173.1,53924,185.44.77.49,51765,BitTorrent,,132,0
2025-09-13T21:06:48.490-05:00,10.215.173.1,53924,143.44.192.251,35898,BitTorrent,,132,0
2025-09-13T21:06:48.496-05:00,10.215.173.1,53924,216.58.97.103,10300,BitTorrent,,132,338
2025-09-13T21:06:48.498-05:00,10.215.173.1,53924,61.79.230.148,32756,BitTorrent,,132,338
2025-09-13T21:06:48.502-05:00,10.215.173.1,53924,119.237.55.235,17026,BitTorrent,,132,324
2025-09-13T21:06:48.506-05:00,10.215.173.1,53924,195.191.244.33,1033,BitTorrent,,132,0
2025-09-13T21:06:48.509-05:00,10.215.173.1,53924,185.183.35.103,6886,BitTorrent,,132,338
2025-09-13T21:06:48.512-05:00,10.215.173.1,53924,193.9.47.43,51413,BitTorrent,,132,311
2025-09-13T21:06:48.519-05:00,10.215.173.1,53924,94.75.220.150,51413,BitTorrent,,132,311
2025-09-13T21:06:48.522-05:00,10.215.173.1,53924,87.142.171.106,6881,BitTorrent,,132,338
2025-09-13T21:06:48.527-05:00,10.215.173.1,53924,85.192.177.95,49001,BitTorrent,,132,334
2025-09-13T21:06:48.530-05:00,10.215.173.1,53924,60.162.168.142,18703,BitTorrent,,132,0
2025-09-13T21:06:48.536-05:00,10.215.173.1,53924,106.250.209.5,32642,BitTorrent,,132,0
2025-09-13T21:06:48.539-05:00,10.215.173.1,53924,117.147.123.146,27136,BitTorrent,,132,338
2025-09-13T21:06:48.543-05:00,10.215.173.1,53924,185.153.176.50,48238,BitTorrent,,132,0
2025-09-13T21:06:48.548-05:00,10.215.173.1,53924,51.159.104.74,8774,BitTorrent,,132,311
2025-09-13T21:06:48.551-05:00,10.215.173.1,53924,84.211.69.224,60182,BitTorrent,,132,338
2025-09-13T21:06:48.553-05:00,10.215.173.1,53924,42.242.91.198,53219,BitTorrent,,132,338
2025-09-13T21:06:48.556-05:00,10.215.173.1,53924,72.21.17.91,19778,BitTorrent,,132,320
2025-09-13T21:06:48.560-05:00,10.215.173.1,53924,149.88.19.245,55440,BitTorrent,,132,0
2025-09-13T21:06:48.564-05:00,10.215.173.1,53924,72.39.158.165,41465,BitTorrent,,132,345
2025-09-13T21:06:48.567-05:00,10.215.173.1,53924,159.26.107.104,44673,BitTorrent,,132,338
2025-09-13T21:06:48.569-05:00,10.215.173.1,53924,97.88.30.113,24195,BitTorrent,,132,345
2025-09-13T21:06:48.573-05:00,10.215.173.1,53924,85.107.70.97,14840,BitTorrent,,132,324
2025-09-13T21:06:48.574-05:00,10.215.173.1,53924,218.153.101.101,7523,BitTorrent,,132,338
2025-09-13T21:06:48.576-05:00,10.215.173.1,53924,77.37.182.115,39011,BitTorrent,,132,306
2025-09-13T21:06:48.578-05:00,10.215.173.1,53924,183.208.216.247,37843,BitTorrent,,132,0
2025-09-13T21:06:48.580-05:00,10.215.173.1,53924,121.84.150.42,20902,BitTorrent,,132,324
2025-09-13T21:06:48.581-05:00,10.215.173.1,53924,51.77.53.195,56173,BitTorrent,,132,338
2025-09-13T21:06:48.583-05:00,10.215.173.1,53924,69.158.83.54,24379,BitTorrent,,132,338
2025-09-13T21:06:48.585-05:00,10.215.173.1,53924,188.163.109.20,50489,BitTorrent,,132,345
2025-09-13T21:06:48.587-05:00,10.215.173.1,53924,95.24.37.80,2192,BitTorrent,,132,0
2025-09-13T21:06:48.589-05:00,10.215.173.1,53924,27.42.98.65,5223,BitTorrent,,132,338
2025-09-13T21:06:48.590-05:00,10.215.173.1,53924,109.88.222.148,51294,BitTorrent,,132,0
2025-09-13T21:06:48.592-05:00,10.215.173.1,53924,143.110.192.181,51413,BitTorrent,,132,311
2025-09-13T21:06:48.594-05:00,10.215.173.1,53924,153.169.1.191,19489,BitTorrent,,132,0
2025-09-13T21:06:48.595-05:00,10.215.173.1,53924,222.112.45.77,32793,BitTorrent,,132,338
2025-09-13T21:06:48.597-05:00,10.215.173.1,53924,223.117.36.163,10736,BitTorrent,,132,0
2025-09-13T21:06:48.598-05:00,10.215.173.1,53924,95.216.28.57,56881,BitTorrent,,132,338
2025-09-13T21:06:48.600-05:00,10.215.173.1,53924,176.195.64.212,39870,BitTorrent,,132,345
2025-09-13T21:06:48.607-05:00,10.215.173.1,53924,45.128.27.170,54058,BitTorrent,,132,338
2025-09-13T21:06:48.609-05:00,10.215.173.1,53924,36.151.181.242,6881,BitTorrent,,132,338
2025-09-13T21:06:48.611-05:00,10.215.173.1,53924,111.48.134.223,52289,BitTorrent,,132,0
2025-09-13T21:06:48.612-05:00,10.215.173.1,53924,183.60.144.98,6885,BitTorrent,,132,338
2025-09-13T21:06:48.614-05:00,10.215.173.1,53924,106.53.192.113,32957,BitTorrent,,132,338
2025-09-13T21:06:48.616-05:00,10.215.173.1,53924,177.65.57.167,41953,BitTorrent,,132,0
2025-09-13T21:06:48.618-05:00,10.215.173.1,53924,157.41.229.46,37000,BitTorrent,,132,0
2025-09-13T21:06:48.620-05:00,10.215.173.1,53924,170.245.10.58,28452,BitTorrent,,132,0
2025-09-13T21:06:48.622-05:00,10.215.173.1,53924,155.93.213.54,36814,BitTorrent,,132,0
2025-09-13T21:06:48.624-05:00,10.215.173.1,53924,72.252.128.193,54742,BitTorrent,,132,338
2025-09-13T21:06:48.625-05:00,10.215.173.1,53924,182.110.176.78,5181,BitTorrent,,132,0
2025-09-13T21:06:48.627-05:00,10.215.173.1,53924,172.56.227.106,38418,BitTorrent,,132,0
