IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
17,10.215.173.1,13302,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,62,118,1,1,2025-06-22T18:54:32.677-05:00,2025-06-22T18:54:32.881-05:00,
6,10.215.173.1,32998,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1504,7789,12,13,2025-06-22T18:54:32.885-05:00,2025-06-22T18:55:33.790-05:00,
17,10.215.173.1,18952,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,android.apis.google.com,69,120,1,1,2025-06-22T18:54:33.089-05:00,2025-06-22T18:54:33.148-05:00,
6,10.215.173.1,46040,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,18094,16396,87,103,2025-06-22T18:54:37.191-05:00,2025-06-22T18:56:49.547-05:00,
6,10.215.173.1,40214,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1453,7736,10,11,2025-06-22T18:55:47.817-05:00,2025-06-22T18:57:14.892-05:00,
6,10.215.173.1,37512,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1380,7709,9,11,2025-06-22T18:57:24.922-05:00,2025-06-22T18:58:25.747-05:00,
6,10.215.173.1,41900,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4138,4041,16,18,2025-06-22T18:57:25.162-05:00,2025-06-22T18:58:25.748-05:00,
6,10.215.173.1,50496,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1568,7857,13,14,2025-06-22T18:58:36.777-05:00,2025-06-22T19:00:07.715-05:00,
6,10.215.173.1,47668,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,6569,5684,31,36,2025-06-22T18:58:37.006-05:00,2025-06-22T18:59:52.646-05:00,
17,10.215.173.1,49738,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,www.gstatic.com,61,88,1,1,2025-06-22T18:58:47.575-05:00,2025-06-22T18:58:47.626-05:00,
6,10.215.173.1,54440,142.250.72.99,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,www.gstatic.com,2887,12928,15,16,2025-06-22T18:58:47.702-05:00,2025-06-22T18:59:47.576-05:00,
6,10.215.173.1,50230,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1340,7630,8,9,2025-06-22T19:00:13.749-05:00,2025-06-22T19:01:18.038-05:00,
6,10.215.173.1,45872,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4186,4254,18,19,2025-06-22T19:00:14.000-05:00,2025-06-22T19:01:18.041-05:00,
6,10.215.173.1,48748,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1300,1144,7,7,2025-06-22T19:01:29.089-05:00,2025-06-22T19:02:33.379-05:00,
6,10.215.173.1,46062,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4066,4240,15,17,2025-06-22T19:01:29.353-05:00,2025-06-22T19:02:33.380-05:00,
6,10.215.173.1,41116,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1345,1224,8,9,2025-06-22T19:02:41.428-05:00,2025-06-22T19:03:44.157-05:00,
6,10.215.173.1,45830,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4074,4161,16,16,2025-06-22T19:02:41.692-05:00,2025-06-22T19:03:44.157-05:00,
6,10.215.173.1,41858,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1497,3272,11,12,2025-06-22T19:03:57.191-05:00,2025-06-22T19:06:26.289-05:00,
6,10.215.173.1,36458,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4114,4398,17,21,2025-06-22T19:03:57.439-05:00,2025-06-22T19:05:00.521-05:00,
6,10.215.173.1,34338,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1384,1224,8,9,2025-06-22T19:06:32.335-05:00,2025-06-22T19:07:32.369-05:00,
6,10.215.173.1,40642,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4130,4137,15,16,2025-06-22T19:06:32.577-05:00,2025-06-22T19:07:32.371-05:00,
6,10.215.173.1,57334,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1345,1224,8,9,2025-06-22T19:07:37.412-05:00,2025-06-22T19:08:38.958-05:00,
6,10.215.173.1,56916,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4074,4033,16,16,2025-06-22T19:07:37.665-05:00,2025-06-22T19:08:38.958-05:00,
6,10.215.173.1,32956,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1300,1184,7,8,2025-06-22T19:08:50.002-05:00,2025-06-22T19:09:54.784-05:00,
6,10.215.173.1,45854,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4034,4045,15,17,2025-06-22T19:08:50.254-05:00,2025-06-22T19:09:54.787-05:00,
17,10.215.173.1,60323,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,www.googleapis.com,64,203,1,1,2025-06-22T19:09:02.729-05:00,2025-06-22T19:09:04.921-05:00,
6,10.215.173.1,52276,216.58.207.234,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,www.googleapis.com,4717,92188,38,63,2025-06-22T19:09:04.993-05:00,2025-06-22T19:10:09.883-05:00,
17,10.215.173.1,42189,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,deviceintegritytokens-pa.googleapis.com,85,352,1,1,2025-06-22T19:09:07.248-05:00,2025-06-22T19:09:07.405-05:00,
6,10.215.173.1,36376,142.250.65.202,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,deviceintegritytokens-pa.googleapis.com,43971,8197,17,15,2025-06-22T19:09:07.521-05:00,2025-06-22T19:10:09.885-05:00,
6,10.215.173.1,47514,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1340,1224,8,9,2025-06-22T19:10:03.821-05:00,2025-06-22T19:11:05.591-05:00,
6,10.215.173.1,56854,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4210,4134,17,20,2025-06-22T19:10:04.076-05:00,2025-06-22T19:11:05.592-05:00,
6,10.215.173.1,39150,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1345,1224,8,9,2025-06-22T19:11:11.639-05:00,2025-06-22T19:12:11.906-05:00,
6,10.215.173.1,41994,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4074,4116,16,17,2025-06-22T19:11:11.898-05:00,2025-06-22T19:12:16.935-05:00,
6,10.215.173.1,45680,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1305,1184,7,8,2025-06-22T19:12:21.946-05:00,2025-06-22T19:13:22.505-05:00,
6,10.215.173.1,57676,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4138,4223,16,17,2025-06-22T19:12:22.198-05:00,2025-06-22T19:13:22.505-05:00,
6,10.215.173.1,54420,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1305,1184,7,8,2025-06-22T19:13:32.543-05:00,2025-06-22T19:14:32.901-05:00,
6,10.215.173.1,55982,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4074,4175,16,18,2025-06-22T19:13:32.796-05:00,2025-06-22T19:14:32.903-05:00,
6,10.215.173.1,42096,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1305,1184,7,8,2025-06-22T19:14:45.944-05:00,2025-06-22T19:15:48.520-05:00,
6,10.215.173.1,38698,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4210,4021,17,16,2025-06-22T19:14:46.206-05:00,2025-06-22T19:15:48.522-05:00,
6,10.215.173.1,44500,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1300,1184,7,8,2025-06-22T19:15:58.564-05:00,2025-06-22T19:16:59.814-05:00,
6,10.215.173.1,48944,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4058,4070,14,15,2025-06-22T19:15:59.575-05:00,2025-06-22T19:16:59.815-05:00,
6,10.215.173.1,49974,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1345,1224,8,9,2025-06-22T19:17:13.864-05:00,2025-06-22T19:18:15.982-05:00,
6,10.215.173.1,38220,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4098,4119,15,17,2025-06-22T19:17:14.117-05:00,2025-06-22T19:18:15.983-05:00,
6,10.215.173.1,46464,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1345,1224,8,9,2025-06-22T19:18:30.027-05:00,2025-06-22T19:19:31.304-05:00,
6,10.215.173.1,34114,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4170,4330,16,20,2025-06-22T19:18:30.282-05:00,2025-06-22T19:19:31.306-05:00,
6,10.215.173.1,57810,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1305,1184,7,8,2025-06-22T19:19:42.355-05:00,2025-06-22T19:20:42.467-05:00,
6,10.215.173.1,55176,142.251.40.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4130,4147,15,18,2025-06-22T19:19:42.598-05:00,2025-06-22T19:20:42.469-05:00,
6,10.215.173.1,49148,142.251.163.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1305,1184,7,8,2025-06-22T19:20:56.496-05:00,2025-06-22T19:21:58.340-05:00,
