IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
17,10.215.173.1,56386,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,0,0,0,0,2025-07-28T01:41:02.591-05:00,2025-07-28T01:41:02.591-05:00,
17,10.215.173.1,49277,10.215.173.2,53,10276,YouTube,com.google.android.youtube,DNS,Closed,www.youtube.com,61,0,1,0,2025-07-28T01:41:06.119-05:00,2025-07-28T01:41:06.119-05:00,
17,10.215.173.1,38810,142.251.33.174,443,10276,YouTube,com.google.android.youtube,QUIC,Closed,,0,0,0,0,2025-07-28T01:41:06.125-05:00,2025-07-28T01:41:10.120-05:00,
6,10.215.173.1,40756,142.251.33.174,443,10276,YouTube,com.google.android.youtube,HTTPS,Active,www.youtube.com,14152,15122,52,55,2025-07-28T01:41:06.126-05:00,2025-07-28T01:41:41.210-05:00,
17,10.215.173.1,4500,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,clients2.google.com,65,116,1,1,2025-07-28T01:41:06.655-05:00,2025-07-28T01:41:06.827-05:00,
6,10.215.173.1,43970,194.242.2.2,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,dns.mullvad.net,3616,12036,33,34,2025-07-28T01:41:06.659-05:00,2025-07-28T01:41:26.750-05:00,
17,10.215.173.1,3476,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,accounts.google.com,65,0,1,0,2025-07-28T01:41:06.734-05:00,2025-07-28T01:41:06.734-05:00,
17,10.215.173.1,5321,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,accounts.google.com,65,126,1,1,2025-07-28T01:41:06.737-05:00,2025-07-28T01:41:07.174-05:00,
6,10.215.173.1,45856,95.215.19.53,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Active,dns.njal.la,3892,9864,38,36,2025-07-28T01:41:06.739-05:00,2025-07-28T01:41:31.532-05:00,
17,10.215.173.1,9930,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,www.gstatic.com,61,88,1,1,2025-07-28T01:41:06.943-05:00,2025-07-28T01:41:07.167-05:00,
17,10.215.173.1,21779,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,www.gstatic.com,61,129,1,1,2025-07-28T01:41:06.945-05:00,2025-07-28T01:41:07.012-05:00,
6,10.215.173.1,45864,95.215.19.53,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,dns.njal.la,501,3342,5,5,2025-07-28T01:41:06.946-05:00,2025-07-28T01:41:07.282-05:00,
17,10.215.173.1,59664,10.215.173.2,53,10256,Google Play Store,com.android.vending,DNS,Closed,play-fe.googleapis.com,0,0,0,0,2025-07-28T01:41:06.990-05:00,2025-07-28T01:41:06.990-05:00,
17,10.215.173.1,44251,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,www.google.com,60,87,1,1,2025-07-28T01:41:07.065-05:00,2025-07-28T01:41:07.279-05:00,
17,10.215.173.1,3300,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,www.google.com,60,140,1,1,2025-07-28T01:41:07.067-05:00,2025-07-28T01:41:07.193-05:00,
17,10.215.173.1,23140,10.215.173.2,53,10276,YouTube,com.google.android.youtube,DNS,Closed,www.youtube.com,61,186,1,1,2025-07-28T01:41:07.132-05:00,2025-07-28T01:41:07.228-05:00,
6,10.215.173.1,40824,142.250.74.99,443,10269,Chrome,com.android.chrome,TCP,Closed,www.gstatic.com,100,88,2,2,2025-07-28T01:41:07.169-05:00,2025-07-28T01:41:07.310-05:00,
6,10.215.173.1,40834,142.250.74.99,443,10269,Chrome,com.android.chrome,TCP,Closed,www.gstatic.com,100,88,2,2,2025-07-28T01:41:07.184-05:00,2025-07-28T01:41:07.328-05:00,
6,10.215.173.1,40836,142.250.74.99,443,10269,Chrome,com.android.chrome,TCP,Closed,www.gstatic.com,100,88,2,2,2025-07-28T01:41:07.195-05:00,2025-07-28T01:41:07.366-05:00,
6,10.215.173.1,39516,10.0.0.109,8009,10276,YouTube,com.google.android.youtube,HTTP,Closed,,491,562,5,5,2025-07-28T01:41:07.235-05:00,2025-07-28T01:41:07.261-05:00,
6,10.215.173.1,40848,142.250.74.99,443,10269,Chrome,com.android.chrome,HTTPS,Closed,www.gstatic.com,2891,7147,13,14,2025-07-28T01:41:07.276-05:00,2025-07-28T01:41:08.153-05:00,
17,10.215.173.1,58687,142.250.74.36,443,10269,Chrome,com.android.chrome,QUIC,Closed,www.google.com,0,0,0,0,2025-07-28T01:41:07.283-05:00,2025-07-28T01:41:11.286-05:00,
6,10.215.173.1,33356,142.250.74.36,443,10269,Chrome,com.android.chrome,HTTPS,Closed,www.google.com,3602,8107,13,15,2025-07-28T01:41:07.285-05:00,2025-07-28T01:41:08.152-05:00,
17,10.215.173.1,55047,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,clientservices.googleapis.com,75,102,1,1,2025-07-28T01:41:07.361-05:00,2025-07-28T01:41:07.516-05:00,
17,10.215.173.1,4253,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,clientservices.googleapis.com,75,143,1,1,2025-07-28T01:41:07.363-05:00,2025-07-28T01:41:07.539-05:00,
17,10.215.173.1,5366,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,discover-pa.googleapis.com,72,147,1,1,2025-07-28T01:41:07.453-05:00,2025-07-28T01:41:07.512-05:00,
17,10.215.173.1,17907,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,discover-pa.googleapis.com,72,140,1,1,2025-07-28T01:41:07.455-05:00,2025-07-28T01:41:07.512-05:00,
17,10.215.173.1,58828,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,www.googleapis.com,64,155,1,1,2025-07-28T01:41:07.508-05:00,2025-07-28T01:41:07.567-05:00,
17,10.215.173.1,29061,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,www.googleapis.com,64,132,1,1,2025-07-28T01:41:07.510-05:00,2025-07-28T01:41:07.568-05:00,
6,10.215.173.1,51356,142.251.32.74,443,10269,Chrome,com.android.chrome,HTTPS,Closed,discover-pa.googleapis.com,6017,130317,71,72,2025-07-28T01:41:07.513-05:00,2025-07-28T01:41:09.031-05:00,
6,10.215.173.1,36564,142.250.74.163,443,10269,Chrome,com.android.chrome,HTTPS,Closed,clientservices.googleapis.com,2851,8918,11,13,2025-07-28T01:41:07.541-05:00,2025-07-28T01:41:08.154-05:00,
17,10.215.173.1,45537,142.251.41.74,443,10269,Chrome,com.android.chrome,QUIC,Closed,www.googleapis.com,0,0,0,0,2025-07-28T01:41:07.570-05:00,2025-07-28T01:41:11.571-05:00,
6,10.215.173.1,50632,142.251.41.74,443,10269,Chrome,com.android.chrome,HTTPS,Closed,www.googleapis.com,4602,9275,18,22,2025-07-28T01:41:07.570-05:00,2025-07-28T01:41:08.127-05:00,
17,10.215.173.1,19090,10.215.173.2,53,10269,Chrome,com.android.chrome,DNS,Closed,accounts.google.com,65,92,1,1,2025-07-28T01:41:07.748-05:00,2025-07-28T01:41:07.803-05:00,
6,10.215.173.1,39260,142.251.179.84,443,10269,Chrome,com.android.chrome,HTTPS,Closed,accounts.google.com,4762,10164,18,19,2025-07-28T01:41:07.808-05:00,2025-07-28T01:41:08.066-05:00,
6,10.215.173.1,44490,10.0.0.98,8060,10276,YouTube,com.google.android.youtube,HTTP,Closed,,570,1338,7,6,2025-07-28T01:41:08.203-05:00,2025-07-28T01:41:17.111-05:00,
