IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
17,10.215.173.1,34505,10.215.173.2,53,10293,Call Filter,com.vzw.ecid,DNS,Closed,api.apptentive.com,64,308,1,1,2025-08-17T20:50:17.129-05:00,2025-08-17T20:50:17.326-05:00,
6,10.215.173.1,40426,142.250.74.106,443,10293,Call Filter,com.vzw.ecid,HTTPS,Closed,firebaseremoteconfig.googleapis.com,2629,6208,9,9,2025-08-17T20:50:17.286-05:00,2025-08-17T20:50:44.171-05:00,
6,10.215.173.1,55238,3.222.159.66,443,10293,Call Filter,com.vzw.ecid,HTTPS,Closed,api.apptentive.com,1895,4279,9,9,2025-08-17T20:50:17.334-05:00,2025-08-17T20:50:44.067-05:00,
6,10.215.173.1,57466,18.234.10.64,443,10293,Call Filter,com.vzw.ecid,HTTPS,Closed,profile.localytics.com,2440,5362,12,14,2025-08-17T20:50:17.349-05:00,2025-08-17T20:50:44.067-05:00,
17,10.215.173.1,13975,10.215.173.2,53,10293,Call Filter,com.vzw.ecid,DNS,Closed,tps.touchstatistics.com,69,187,1,1,2025-08-17T20:50:22.607-05:00,2025-08-17T20:50:22.998-05:00,
6,10.215.173.1,39980,13.227.219.74,443,10293,Call Filter,com.vzw.ecid,HTTPS,Closed,tps.touchstatistics.com,1610,6045,13,12,2025-08-17T20:50:23.004-05:00,2025-08-17T20:50:44.182-05:00,
17,10.215.173.1,8280,10.215.173.2,53,10704,YouTube,app.revanced.android.youtube,DNS,Closed,i.ytimg.com,57,324,1,1,2025-08-17T20:50:28.308-05:00,2025-08-17T20:50:28.790-05:00,
17,10.215.173.1,14267,10.215.173.2,53,10704,YouTube,app.revanced.android.youtube,DNS,Closed,youtubei.googleapis.com,69,240,1,1,2025-08-17T20:50:28.310-05:00,2025-08-17T20:50:29.391-05:00,
17,10.215.173.1,58978,172.217.16.150,443,10704,YouTube,app.revanced.android.youtube,QUIC,Closed,i.ytimg.com,0,0,0,0,2025-08-17T20:50:28.801-05:00,2025-08-17T20:50:32.806-05:00,
17,10.215.173.1,27362,10.215.173.2,53,10704,YouTube,app.revanced.android.youtube,DNS,Closed,i.ytimg.com,57,324,1,1,2025-08-17T20:50:28.801-05:00,2025-08-17T20:50:28.807-05:00,
6,10.215.173.1,50598,172.217.16.150,443,10704,YouTube,app.revanced.android.youtube,HTTPS,Closed,i.ytimg.com,1425,6205,10,9,2025-08-17T20:50:28.810-05:00,2025-08-17T20:50:35.383-05:00,
17,10.215.173.1,58235,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,android.apis.google.com,69,120,1,1,2025-08-17T20:50:29.041-05:00,2025-08-17T20:50:29.265-05:00,
17,10.215.173.1,40690,10.215.173.2,53,10276,YouTube,com.google.android.youtube,DNS,Closed,i.ytimg.com,57,324,1,1,2025-08-17T20:50:29.214-05:00,2025-08-17T20:50:29.221-05:00,
17,10.215.173.1,55703,172.217.16.150,443,10276,YouTube,com.google.android.youtube,QUIC,Closed,i.ytimg.com,0,0,0,0,2025-08-17T20:50:29.237-05:00,2025-08-17T20:50:33.239-05:00,
6,10.215.173.1,50600,172.217.16.150,443,10276,YouTube,com.google.android.youtube,HTTPS,Closed,i.ytimg.com,2654,7375,11,11,2025-08-17T20:50:29.256-05:00,2025-08-17T20:50:35.729-05:00,
17,10.215.173.1,55261,172.217.16.142,443,10255,Google Play services,com.google.android.gms,QUIC,Closed,android.apis.google.com,0,0,0,0,2025-08-17T20:50:29.278-05:00,2025-08-17T20:50:33.278-05:00,
17,10.215.173.1,35845,10.215.173.2,53,10354,All Apps,com.inmobi.folderwall,DNS,Closed,firebaselogging-pa.googleapis.com,79,250,1,1,2025-08-17T20:50:29.364-05:00,2025-08-17T20:50:29.644-05:00,
17,10.215.173.1,46224,64.233.170.95,443,10704,YouTube,app.revanced.android.youtube,QUIC,Closed,youtubei.googleapis.com,0,0,0,0,2025-08-17T20:50:29.399-05:00,2025-08-17T20:50:33.398-05:00,
17,10.215.173.1,50773,64.233.170.95,443,10276,YouTube,com.google.android.youtube,QUIC,Closed,youtubei.googleapis.com,0,0,0,0,2025-08-17T20:50:29.399-05:00,2025-08-17T20:50:33.398-05:00,
17,10.215.173.1,47823,10.215.173.2,53,10276,YouTube,com.google.android.youtube,DNS,Closed,youtubei.googleapis.com,69,240,1,1,2025-08-17T20:50:29.400-05:00,2025-08-17T20:50:29.404-05:00,
6,10.215.173.1,58466,64.233.170.95,443,10276,YouTube,com.google.android.youtube,HTTPS,Closed,youtubei.googleapis.com,2674,7404,11,12,2025-08-17T20:50:29.410-05:00,2025-08-17T20:50:35.730-05:00,
17,10.215.173.1,40152,10.215.173.2,53,10704,YouTube,app.revanced.android.youtube,DNS,Closed,youtubei.googleapis.com,69,240,1,1,2025-08-17T20:50:29.415-05:00,2025-08-17T20:50:29.416-05:00,
6,10.215.173.1,58482,64.233.170.95,443,10704,YouTube,app.revanced.android.youtube,HTTPS,Closed,youtubei.googleapis.com,5111,6697,16,14,2025-08-17T20:50:29.423-05:00,2025-08-17T20:50:35.383-05:00,
6,10.215.173.1,58492,64.233.170.95,443,10704,YouTube,app.revanced.android.youtube,HTTPS,Error,youtubei.googleapis.com,891,4913,7,6,2025-08-17T20:50:29.424-05:00,2025-08-17T20:50:29.927-05:00,
17,10.215.173.1,3926,10.215.173.2,53,10354,All Apps,com.inmobi.folderwall,DNS,Closed,googleads.g.doubleclick.net,73,148,1,1,2025-08-17T20:50:29.624-05:00,2025-08-17T20:50:29.923-05:00,
