IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
6,10.215.173.1,35538,64.233.180.188,5228,10449,PCAPdroid mitm,com.pcapdroid.mitm,TLS,Closed,mtalk.google.com,694,6914,7,7,2025-07-28T05:50:59.805-05:00,2025-07-28T05:52:00.351-05:00,
17,10.215.173.1,28301,10.215.173.2,53,10256,Google Play Store,com.android.vending,DNS,Closed,android-safebrowsing.google.com,77,123,1,1,2025-07-28T05:51:18.559-05:00,2025-07-28T05:51:18.744-05:00,
6,10.215.173.1,41122,194.242.2.2,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,dns.mullvad.net,1471,5146,17,19,2025-07-28T05:51:18.563-05:00,2025-07-28T05:51:36.190-05:00,
6,10.215.173.1,59634,142.251.33.174,443,10256,Google Play Store,com.android.vending,HTTPS,Closed,android-safebrowsing.google.com,2063,4144,6,5,2025-07-28T05:51:18.750-05:00,2025-07-28T05:51:18.962-05:00,
6,10.215.173.1,59650,142.251.33.174,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,android-safebrowsing.google.com,767,7610,8,8,2025-07-28T05:51:18.760-05:00,2025-07-28T05:51:18.985-05:00,
17,10.215.173.1,63733,10.215.173.2,53,10256,Google Play Store,com.android.vending,DNS,Closed,connectivitycheck.gstatic.com,75,555,1,1,2025-07-28T05:51:20.253-05:00,2025-07-28T05:51:20.273-05:00,
6,10.215.173.1,41206,142.250.190.131,443,10256,Google Play Store,com.android.vending,HTTPS,Closed,connectivitycheck.gstatic.com,807,1660,6,5,2025-07-28T05:51:20.316-05:00,2025-07-28T05:51:20.523-05:00,
6,10.215.173.1,41208,142.250.190.131,443,10256,Google Play Store,com.android.vending,HTTPS,Closed,connectivitycheck.gstatic.com,807,1660,6,5,2025-07-28T05:51:20.361-05:00,2025-07-28T05:51:20.558-05:00,
6,10.215.173.1,41222,142.250.190.131,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,connectivitycheck.gstatic.com,682,4402,6,6,2025-07-28T05:51:20.400-05:00,2025-07-28T05:51:20.585-05:00,
6,10.215.173.1,41228,142.250.190.131,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,connectivitycheck.gstatic.com,682,4401,6,6,2025-07-28T05:51:20.406-05:00,2025-07-28T05:51:20.585-05:00,
17,10.215.173.1,13076,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,safebrowsing.googleapis.com,73,100,1,1,2025-07-28T05:51:25.471-05:00,2025-07-28T05:51:25.528-05:00,
6,10.215.173.1,49438,142.251.41.34,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,googleads.g.doubleclick.net,807,1875,6,5,2025-07-28T05:51:25.476-05:00,2025-07-28T05:51:25.628-05:00,
6,10.215.173.1,49442,142.251.41.34,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,googleads.g.doubleclick.net,720,4659,7,7,2025-07-28T05:51:25.481-05:00,2025-07-28T05:51:25.673-05:00,
